host_name,host_id,host_type,host_ips,missing_networks,stream_info,status_info,error_code,error_description,is_archived
s0840-hyv01,68173F5C-3223-1005-8673-0050568505BC,host,['10.199.156.2'],['10.199.156.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0892-rgk01,69E1CBBE-35F5-1005-8665-0050568505BC,host,['10.193.243.82'],['10.193.243.80/28'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s836-boh,6A3C031C-370C-1005-8665-0050568505BC,host,['10.193.18.169'],['10.193.18.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0797-hyv01,6BF3F835-5046-1005-BD0A-0050568525D9,host,['10.199.44.2'],['10.199.44.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0071-fsk02,6C029367-3829-1005-8665-0050568505BC,host,['10.181.30.171'],['10.181.30.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0549-ppc01,6DB440C4-33AD-1005-8665-0050568505BC,host,['10.188.148.4'],['10.188.148.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0415-hyv01,6FB696EE-A545-1005-AA52-0050568505BC,host,['10.200.40.2'],['10.200.40.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0746-pps01,71396631-3AE7-1005-8663-0050568525D9,host,['10.200.56.3'],['10.200.56.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0626-rgk01,72AADB40-3EFE-1005-8535-0050568525D9,host,['10.189.203.82'],['10.189.203.80/28'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0551-pps01,739398B3-481D-1005-BCA0-0050568525D9,host,['10.188.156.3'],['10.188.156.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0662-ppc01,75AA6254-34B4-1005-8665-0050568505BC,host,['10.190.88.4'],['10.190.88.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
